Date/Time,Net,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,11.38771458,0.985631554,4.68592629,0,4.657958911,0,0.124006867,0.124006867,0.124006867,0.154019476,0.033179897,0.092942925,0.406034923,0
 01/01  02:00:00,11.51858327,0.803628299,4.896239602,0,4.870489014,0,0.129663234,0.129663234,0.129663234,0.089844728,0.019354937,0.07618578,0.37385121,0
 01/01  03:00:00,11.83806321,0.742965359,5.102798468,0,5.077346437,0,0.135036665,0.135036665,0.135036665,0.064174796,0.013824955,0.062326493,0.369516703,0
 01/01  04:00:00,12.10603646,0.737684974,5.240613524,0,5.215519762,0,0.138642242,0.138642242,0.138642242,0.064174796,0.013824955,0.053976431,0.364315295,0
 01/01  05:00:00,12.16166848,0.784872311,5.245210173,0,5.221064331,0,0.13871527,0.13871527,0.13871527,0.064174796,0.013824955,0.065822864,0.350553236,0
 01/01  06:00:00,12.33514632,1.049213613,5.176804153,0,5.149859334,0,0.136667349,0.136667349,0.136667349,0.064174796,0.013824955,0.080078181,0.391189237,0
 01/01  07:00:00,12.77866381,1.663315204,4.990075095,0,4.958943007,0,0.131522278,0.131522278,0.131522278,0.147602041,0.031797395,0.140383543,0.451980695,0
 01/01  08:00:00,13.99860801,2.100823893,5.221485145,0,5.188404969,0,0.137488185,0.137488185,0.137488185,0.301621517,0.064977292,0.228567291,0.480263352,0
 01/01  09:00:00,13.016503,2.034292327,4.786738012,0,4.758770634,0,0.126180095,0.126180095,0.126180095,0.288786568,0.062212303,0.30112795,0.406034923,0
 01/01  10:00:00,12.70571162,1.791457369,4.827983886,0,4.804181385,0,0.127352146,0.127352146,0.127352146,0.147602041,0.031797395,0.375064554,0.345568553,0
 01/01  11:00:00,14.74563384,1.712875816,5.846338268,0,5.821975972,0,0.155585207,0.155585207,0.155585207,0.121932142,0.026267417,0.395792849,0.353695754,0
 01/01  12:00:00,12.82108495,1.611809882,4.962085003,0,4.937715244,0,0.131287554,0.131287554,0.131287554,0.121932142,0.026267417,0.413608485,0.353804116,0
