Date/Time,Net,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) ,
 01/01  01:00:00,3.766292292,0.569468115,1.371672299,0,1.335477124,0,0.023173796,0.023173796,0.023173796,0.05900368,0.01060061,0.038977013,0.311572063,0.115610953,
 01/01  02:00:00,3.796327288,0.467701509,1.462355812,0,1.427857385,0,0.024776819,0.024776819,0.024776819,0.034418826,0.006183691,0.036603809,0.286875799,0.068312564,
 01/01  03:00:00,3.880391909,0.440886868,1.520756093,0,1.493891009,0,0.025922664,0.025922664,0.025922664,0.024584869,0.004416921,0.034538454,0.283549703,0.057344257,
 01/01  04:00:00,4.001970721,0.441005513,1.582364743,0,1.55577388,0,0.026996484,0.026996484,0.026996484,0.024584869,0.004416921,0.033276956,0.279558387,0.061641896,
 01/01  05:00:00,4.024830899,0.469347823,1.587994061,0,1.554723918,0,0.026978264,0.026978264,0.026978264,0.024584869,0.004416921,0.033830483,0.268998032,0.100009253,
 01/01  06:00:00,4.173059737,0.674012272,1.549101223,0,1.506304815,0,0.026138074,0.026138074,0.026138074,0.024584869,0.004416921,0.036045231,0.300180184,0.272116993,
 01/01  07:00:00,4.457214608,1.083750133,1.460294839,0,1.38469508,0,0.024027848,0.024027848,0.024027848,0.05654521,0.010158921,0.042858198,0.346828683,0.592801274,
 01/01  08:00:00,5.356792216,1.278372034,1.77450723,0,1.6604341,0,0.028812595,0.028812595,0.028812595,0.11554889,0.020759531,0.052201185,0.368531461,0.666988374,
 01/01  09:00:00,4.574860347,1.161841966,1.478561392,0,1.361017729,0,0.023616988,0.023616988,0.023616988,0.110631919,0.019876147,0.060508167,0.311572063,0.625106682,
 01/01  10:00:00,4.330338297,0.973401216,1.503998169,0,1.385186889,0,0.024036382,0.024036382,0.024036382,0.05654521,0.010158921,0.063765725,0.265173021,0.543191957,
