Month,Day,Hour,DateTime,EnergyProd,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W),,,
1,1,0,11990,0,0,0,-5,0,0,-5,0,0,110,,1100
1,1,1,11991,0,0,0,-5,0,0,-5,0,0,,,1101
1,1,2,11992,0,0,0,-5,0,0,-5,0,0,,,1102
1,1,3,11993,0,0,0,-5,0,0,-5,0,0,,,1103
1,1,4,11994,0,0,0,-5,0,0,-5,0,0,,,1104
1,1,5,11995,0,0,0,-5,0,0,-5,0,0,,,
1,1,6,11996,0,0,0,-5,0,0,-5,0,0,,,
1,1,7,11997,0,0,0,-4,0,0,-4,0,0,,,
1,1,8,11998,9.724836,611,36,-2,0,260.502,6.183,9724.836,9281.282,,,
1,1,9,11999,18.857102,806,55,0,0,495.747,19.656,18857.102,18141.473,,,
1,1,10,119910,25.14765,884,66,1,0,671.233,28.279,25147.65,24204.527,,,
1,1,11,119911,20.934072,450,174,2,0,547.988,26.376,20934.072,20146.945,,,
1,1,12,119912,21.648234,441,187,3,0,567.911,27.105,21648.234,20835.701,,,
1,1,13,119913,12.784938,118,211,4,0,323.738,19.873,12784.938,12257.891,,,
1,1,14,119914,15.46482,342,151,4,0,396.181,20.452,15464.82,14858.301,,,
1,1,15,119915,6.066351,67,108,3,0,149.025,10.94,6066.351,5712.461,,,
1,1,16,119916,7.260979,471,34,1,0,198.706,8.313,7260.979,6879.027,,,
1,1,17,119917,0,0,0,0,0,0,0,0,0,,,
1,1,18,119918,0,0,0,0,0,0,0,0,0,,,
1,1,19,119919,0,0,0,0,0,0,0,0,0,,,
1,1,20,119920,0,0,0,0,0,0,0,0,0,,,
1,1,21,119921,0,0,0,0,0,0,0,0,0,,,
1,1,22,119922,0,0,0,0,0,0,0,0,0,,,
1,1,23,119923,0,0,0,0,0,0,0,0,0,,,
1,2,0,12990,0,0,0,0,0,0,0,0,0,,,
1,2,1,12991,0,0,0,0,0,0,0,0,0,,,
1,2,2,12992,0,0,0,-1,0,0,-1,0,0,,,
1,2,3,12993,0,0,0,-1,0,0,-1,0,0,,,
1,2,4,12994,0,0,0,-1,0,0,-1,0,0,,,
1,2,5,12995,0,0,0,-1,0,0,-1,0,0,,,
1,2,6,12996,0,0,0,-1,0,0,-1,0,0,,,
1,2,7,12997,0,0,0,0,0,0,0,0,0,,,
1,2,8,12998,2.098004,0,48,1,0,48.281,-1.361,2098.004,1828.869,,,
1,2,9,12999,7.631533,94,120,2,0,184.609,7.367,7631.533,7240.636,,,
1,2,10,129910,8.044149,35,162,3,0,195.171,10.467,8044.149,7643.16,,,
1,2,11,129911,3.684837,0,92,4,0,87.89,7.051,3684.837,3383.372,,,
1,2,12,129912,6.928364,4,165,4,0,166.78,9.133,6928.364,6554.344,,,
1,2,13,129913,2.844202,0,71,4,0,67.454,5.735,2844.202,2560.123,,,
1,2,14,129914,6.698687,18,148,3,0,160.388,7.591,6698.687,6330.09,,,
1,2,15,129915,5.062938,23,103,2,0,120.871,6.055,5062.938,4731.708,,,
1,2,16,129916,2.278814,25,43,1,0,54.355,1.421,2278.814,2006.101,,,
1,2,17,129917,0,0,0,0,0,0,0,0,0,,,
1,2,18,129918,0,0,0,0,0,0,0,0,0,,,
1,2,19,129919,0,0,0,0,0,0,0,0,0,,,
1,2,20,129920,0,0,0,0,0,0,0,0,0,,,
1,2,21,129921,0,0,0,0,0,0,0,0,0,,,
1,2,22,129922,0,0,0,0,0,0,0,0,0,,,
1,2,23,129923,0,0,0,0,0,0,0,0,0,,,
1,3,0,13990,0,0,0,0,0,0,0,0,0,,,
1,3,1,13991,0,0,0,0,0,0,0,0,0,,,
1,3,2,13992,0,0,0,0,0,0,0,0,0,,,
1,3,3,13993,0,0,0,0,0,0,0,0,0,,,
1,3,4,13994,0,0,0,0,0,0,0,0,0,,,
1,3,5,13995,0,0,0,0,0,0,0,0,0,,,
1,3,6,13996,0,0,0,1,0,0,1,0,0,,,
1,3,7,13997,0,0,0,1,0,0,1,0,0,,,
1,3,8,13998,0.082521,0,2,2,0,1.89,-2.506,82.521,0,,,
1,3,9,13999,1.153136,0,28,2,0,26.533,-1.395,1153.136,902.264,,,
1,3,10,139910,2.688524,0,66,3,0,62.682,1.737,2688.524,2407.601,,,
1,3,11,139911,4.263414,0,105,4,0,101.059,5.612,4263.414,3949.644,,,
1,3,12,139912,2.290225,0,57,5,0,54.13,4.939,2290.225,2017.285,,,
1,3,13,139913,3.705366,0,92,5,0,87.917,5.839,3705.366,3403.469,,,
1,3,14,139914,2.332495,0,58,5,0,55.063,4.657,2332.495,2058.714,,,
1,3,15,139915,0.649041,0,16,5,0,15.149,1.997,649.041,407.61,,,
1,3,16,139916,0.569407,0,14,5,0,13.251,1.303,569.407,329.448,,,
1,3,17,139917,0,0,0,5,0,0,5,0,0,,,
1,3,18,139918,0,0,0,5,0,0,5,0,0,,,
1,3,19,139919,0,0,0,5,0,0,5,0,0,,,
1,3,20,139920,0,0,0,4,0,0,4,0,0,,,
1,3,21,139921,0,0,0,4,0,0,4,0,0,,,
1,3,22,139922,0,0,0,4,0,0,4,0,0,,,
1,3,23,139923,0,0,0,5,0,0,5,0,0,,,
1,4,0,14990,0,0,0,5,0,0,5,0,0,,,
1,4,1,14991,0,0,0,5,0,0,5,0,0,,,
1,4,2,14992,0,0,0,6,0,0,6,0,0,,,
1,4,3,14993,0,0,0,6,0,0,6,0,0,,,
1,4,4,14994,0,0,0,7,0,0,7,0,0,,,
1,4,5,14995,0,0,0,9,0,0,9,0,0,,,
1,4,6,14996,0,0,0,9,0,0,9,0,0,,,
1,4,7,14997,0,0,0,9,0,0,9,0,0,,,
1,4,8,14998,0.16001,0,4,9,0,3.781,4.879,160.01,0,,,
1,4,9,14999,1.548015,0,39,10,0,36.983,7.425,1548.015,1289.6,,,
1,4,10,149910,3.34764,0,85,11,0,81.302,11.18,3347.64,3053.219,,,
