Date/Time,Net,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) ,
 01/01  01:00:00,18.67214936,1.36002308,7.861771288,0,7.827229074,0,0.231970023,0.231970023,0.231970023,0.247690814,0.055988057,0.122837148,0.500699825,0.178067213,
 01/01  02:00:00,18.61206878,1.108556379,8.041059846,0,8.009255565,0,0.237354225,0.237354225,0.237354225,0.144486287,0.032659695,0.102975686,0.461012649,0.107297837,
 01/01  03:00:00,18.44189992,1.016669165,8.038088968,0,8.006653433,0,0.237263779,0.237263779,0.237263779,0.103204501,0.023328353,0.08649659,0.455667575,0.087938366,
 01/01  04:00:00,18.71618701,1.009812025,8.180392911,0,8.14939987,0,0.24148342,0.24148342,0.24148342,0.103204501,0.023328353,0.076345607,0.449253486,0.093426657,
 01/01  05:00:00,18.6818741,1.06251301,8.139746932,0,8.109924657,0,0.240303888,0.240303888,0.240303888,0.103204501,0.023328353,0.089962105,0.432282875,0.150661287,
 01/01  06:00:00,18.80860814,1.372432811,8.021912868,0,7.988633606,0,0.236702554,0.236702554,0.236702554,0.103204501,0.023328353,0.106595392,0.482392946,0.397439064,
 01/01  07:00:00,19.62831933,2.141906983,7.900101632,0,7.861650717,0,0.232934197,0.232934197,0.232934197,0.23737031,0.05365521,0.177474276,0.557357611,0.860345379,
 01/01  08:00:00,21.58855548,2.765885787,8.329386341,0,8.288529363,0,0.245576307,0.245576307,0.245576307,0.485061124,0.109643267,0.281086459,0.59223422,0.992014409,
 01/01  09:00:00,19.62085415,2.644036435,7.457685239,0,7.423143025,0,0.219947101,0.219947101,0.219947101,0.464420241,0.1049776,0.366050484,0.500699825,0.965171184,
 01/01  10:00:00,19.27651278,2.281533111,7.591272113,0,7.561873895,0,0.224051518,0.224051518,0.224051518,0.23737031,0.05365521,0.452517545,0.42613604,0.865032488,
 01/01  11:00:00,20.2113329,2.157981498,8.106422669,0,8.076333054,0,0.239280752,0.239280752,0.239280752,0.19608855,0.044323876,0.476182943,0.436158054,0.743177322,
 01/01  12:00:00,18.64448278,2.047485322,7.399227986,0,7.369129153,0,0.218321394,0.218321394,0.218321394,0.19608855,0.044323876,0.496972028,0.436291681,0.632717793,
 01/01  13:00:00,18.29969062,1.937009167,7.297774315,0,7.268182507,0,0.215318017,0.215318017,0.215318017,0.19608855,0.044323876,0.481415945,0.428942204,0.548150575,
 01/01  14:00:00,17.98434296,1.852086295,7.202255307,0,7.17164023,0,0.212451672,0.212451672,0.212451672,0.19608855,0.044323876,0.436818903,0.443774785,0.495858508,
 01/01  15:00:00,17.79831677,1.803429613,7.136042721,0,7.10370376,0,0.21043661,0.21043661,0.21043661,0.206409052,0.046656695,0.40200209,0.468763007,0.446392159,
 01/01  16:00:00,18.21541458,1.911048217,7.237721843,0,7.203585249,0,0.213393519,0.213393519,0.213393519,0.25801119,0.058320876,0.411726406,0.494820243,0.452005983,
 01/01  17:00:00,18.90743693,2.337630443,7.193586019,0,7.153208411,0,0.211904461,0.211904461,0.211904461,0.43345886,0.097979086,0.470575106,0.585285624,0.515657306,
 01/01  18:00:00,21.20542059,3.164145622,7.572786267,0,7.523733926,0,0.222901383,0.222901383,0.222901383,0.804995078,0.181961143,0.578065906,0.711028494,0.642423618,
 01/01  19:00:00,20.38680427,3.778607767,6.65601524,0,6.602759202,0,0.195639084,0.195639084,0.195639084,1.197172179,0.270608895,0.522761394,0.77196234,0.767693875,
 01/01  20:00:00,20.43715934,3.791406325,6.667182578,0,6.612211875,0,0.195937039,0.195937039,0.195937039,1.269415322,0.286938743,0.425376441,0.796816935,0.794151844,
 01/01  21:00:00,20.40063356,3.496613475,6.903599003,0,6.84673848,0,0.202904502,0.202904502,0.202904502,1.093967652,0.247280533,0.379510475,0.82421044,0.725969873,
 01/01  22:00:00,20.16466525,3.156428015,7.074494045,0,7.018961006,0,0.208018979,0.208018979,0.208018979,0.918519984,0.207622353,0.359614732,0.804968173,0.634913794,
 01/01  23:00:00,19.65236239,2.567969033,7.325921308,0,7.277864579,0,0.215695303,0.215695303,0.215695303,0.691470175,0.156299962,0.289154633,0.696596794,0.495982165,
 01/01  24:00:00,19.14847723,1.966823916,7.586785613,0,7.545025209,0,0.223614452,0.223614452,0.223614452,0.474740745,0.107310419,0.191618322,0.605329652,0.341440326,
 01/02  01:00:00,19.02036105,1.345296188,8.039189278,0,8.004647064,0,0.237227325,0.237227325,0.237227325,0.247690814,0.055988057,0.115167851,0.500699825,0.165752316,
 01/02  02:00:00,19.19874135,1.105885127,8.325395872,0,8.293591591,0,0.245779767,0.245779767,0.245779767,0.144486287,0.032659695,0.098370824,0.461012649,0.100805905,
 01/02  03:00:00,19.38911654,1.022249429,8.490326197,0,8.458890662,0,0.250666558,0.250666558,0.250666558,0.103204501,0.023328353,0.083450145,0.455667575,0.083162296,
 01/02  04:00:00,19.60432622,1.015622878,8.603540189,0,8.572547148,0,0.254025676,0.254025676,0.254025676,0.103204501,0.023328353,0.074752636,0.449253486,0.088288226,
 01/02  05:00:00,19.84839673,1.065472464,8.698245604,0,8.668423329,0,0.256864616,0.256864616,0.256864616,0.103204501,0.023328353,0.086845757,0.432282875,0.140176361,
 01/02  06:00:00,20.31403185,1.359187138,8.751190991,0,8.71791173,0,0.258333424,0.258333424,0.258333424,0.103204501,0.023328353,0.101815918,0.482392946,0.367341996,
 01/02  07:00:00,21.03042301,2.081478407,8.606139588,0,8.567688673,0,0.253885122,0.253885122,0.253885122,0.23737031,0.05365521,0.165077845,0.557357611,0.79136231,
 01/02  08:00:00,23.16795415,2.681219742,9.137767982,0,9.096911005,0,0.26957287,0.26957287,0.26957287,0.485061124,0.109643267,0.256398204,0.59223422,0.908040057,
 01/02  09:00:00,21.25985443,2.543534379,8.30848685,0,8.273944636,0,0.245194645,0.245194645,0.245194645,0.464420241,0.1049776,0.328206966,0.500699825,0.877265101,
 01/02  10:00:00,19.60105373,2.155192805,7.832184236,0,7.802786018,0,0.231249265,0.231249265,0.231249265,0.23737031,0.05365521,0.399981311,0.42613604,0.78403067,
 01/02  11:00:00,20.53993627,2.036268299,8.350345989,0,8.320256374,0,0.246571483,0.246571483,0.246571483,0.19608855,0.044323876,0.416780676,0.436158054,0.67357566,
 01/02  12:00:00,18.47427235,1.928694373,7.403846333,0,7.373747499,0,0.218514966,0.218514966,0.218514966,0.19608855,0.044323876,0.435735142,0.436291681,0.574970157,
 01/02  13:00:00,17.55745732,1.823097604,7.023608899,0,6.99401709,0,0.207247358,0.207247358,0.207247358,0.19608855,0.044323876,0.425637022,0.428942204,0.498088594,
 01/02  14:00:00,17.74028774,1.756487094,7.155456124,0,7.124841046,0,0.211116688,0.211116688,0.211116688,0.19608855,0.044323876,0.385966199,0.443774785,0.452446996,
 01/02  15:00:00,17.92122999,1.72206564,7.255611407,0,7.223272446,0,0.214032052,0.214032052,0.214032052,0.206409052,0.046656695,0.356355589,0.468763007,0.407079245,
 01/02  16:00:00,18.65239803,1.836621888,7.503163835,0,7.469027241,0,0.221313941,0.221313941,0.221313941,0.25801119,0.058320876,0.368490937,0.494820243,0.4128947,
 01/02  17:00:00,19.86002148,2.262922765,7.705341521,0,7.664963912,0,0.227132949,0.227132949,0.227132949,0.43345886,0.097979086,0.428670867,0.585285624,0.46762538,
 01/02  18:00:00,22.0165854,3.078523045,8.021737583,0,7.972685242,0,0.236277608,0.236277608,0.236277608,0.804995078,0.181961143,0.536821988,0.711028494,0.584668733,
 01/02  19:00:00,20.77559586,3.671360714,6.912547846,0,6.859291808,0,0.203306462,0.203306462,0.203306462,1.197172179,0.270608895,0.482732692,0.77196234,0.692808146,
 01/02  20:00:00,22.02609662,3.692189991,7.494352981,0,7.439382278,0,0.220525381,0.220525381,0.220525381,1.269415322,0.286938743,0.385424228,0.796816935,0.710299382,
 01/02  21:00:00,21.34656943,3.391589441,7.426058633,0,7.369198111,0,0.218472913,0.218472913,0.218472913,1.093967652,0.247280533,0.338845877,0.82421044,0.646042026,
 01/02  22:00:00,20.7245051,3.057868178,7.40945367,0,7.35392063,0,0.218026237,0.218026237,0.218026237,0.918519984,0.207622353,0.318073398,0.804968173,0.567888033,
 01/02  23:00:00,20.45429794,2.495222592,7.760330219,0,7.712273491,0,0.228652939,0.228652939,0.228652939,0.691470175,0.156299962,0.256145886,0.696596794,0.443286835,
 01/02  24:00:00,19.88065222,1.927154063,7.964843854,0,7.923083451,0,0.234898566,0.234898566,0.234898566,0.474740745,0.107310419,0.173494336,0.605329652,0.308610345,
 01/03  01:00:00,19.70023873,1.355107574,8.359841793,0,8.325299579,0,0.246814413,0.246814413,0.246814413,0.247690814,0.055988057,0.115167851,0.500699825,0.165976614,
 01/03  02:00:00,19.80312376,1.114511633,8.610474273,0,8.578669993,0,0.254312801,0.254312801,0.254312801,0.144486287,0.032659695,0.098370824,0.461012649,0.100899377,
 01/03  03:00:00,19.88608857,1.029338648,8.724718543,0,8.693283007,0,0.257699267,0.257699267,0.257699267,0.103204501,0.023328353,0.083450145,0.455667575,0.083218806,
 01/03  04:00:00,20.09391996,1.022625217,8.834439422,0,8.803446381,0,0.260956656,0.260956656,0.260956656,0.103204501,0.023328353,0.074752636,0.449253486,0.088359585,
 01/03  05:00:00,20.31957091,1.072321963,8.920403168,0,8.890580893,0,0.263534467,0.263534467,0.263534467,0.103204501,0.023328353,0.086845757,0.432282875,0.140356009,
 01/03  06:00:00,20.6731929,1.364918593,8.920266544,0,8.886987282,0,0.263426254,0.263426254,0.263426254,0.103204501,0.023328353,0.101815918,0.482392946,0.367980621,
 01/03  07:00:00,21.59840762,2.090967259,8.873389825,0,8.834938911,0,0.261883549,0.261883549,0.261883549,0.23737031,0.05365521,0.165077845,0.557357611,0.792852734,
 01/03  08:00:00,21.64415278,2.661688452,8.417524481,0,8.376667503,0,0.248311842,0.248311842,0.248311842,0.485061124,0.109643267,0.256398204,0.59223422,0.909769795,
 01/03  09:00:00,20.81278218,2.539110219,8.096451923,0,8.061909708,0,0.239001898,0.239001898,0.239001898,0.464420241,0.1049776,0.328206966,0.500699825,0.879033688,
 01/03  10:00:00,22.68341542,2.1998662,9.286252516,0,9.256854298,0,0.274433179,0.274433179,0.274433179,0.23737031,0.05365521,0.399981311,0.42613604,0.785520151,
 01/03  11:00:00,22.69872921,2.067798581,9.368533706,0,9.338444091,0,0.276867224,0.276867224,0.276867224,0.19608855,0.044323876,0.416780676,0.436158054,0.674810201,
 01/03  12:00:00,23.77146989,2.003914733,9.90346754,0,9.873368706,0,0.292759888,0.292759888,0.292759888,0.19608855,0.044323876,0.435735142,0.436291681,0.575945595,
